Section,Speed,Bar,Av1_N1,Av1_L1,Av1_N2,Av1_L2,Av1_N3,Av1_L3,Av1_N4,Av1_L4,Av1_N5,Av1_L5,Av1_N6,Av1_L6,Av1_N7,Av1_L7,Av1_N8,Av1_L8,,Av2_N1,Av2_L1,Av2_N2,Av2_L2,Av2_N3,Av2_L3,Av2_N4,Av2_L4,Av2_N5,Av2_L5,Av2_N6,Av2_L6,Av2_N7,Av2_L7,Av2_N8,Av2_L8
Charanam 3,3,93,G,NI,G,.,D,.,D,.,P,.,G,.,D,VA,D,.,,P,.,",",.,G,SA,P,",",G,.,R,.,S,",",R,.
Ettugada Swaram,3,95,P,,",",,D,,D,,P,,",",,G,,R,,,S,,",",,R,,G,,R,,",",,S,,D.,
Ettugada Swaram,3,97,S,,",",,R,,G,,P,,",",,D,,",",,,S',,S',,",",,D,,P,,",",,G,,R,
Charanam 4,2,99,G,SA,",",.,G,NNU,",",.,G,TH,P,AAN,G,.,R,.,,R,GA,G,.,P,.,G,.,P,SRI,",",.,P,.,",",.
Charanam 4,2,101,G,NI,G,.,D,.,D,.,P,.,G,.,D,VA,D,.,,P,.,",",.,G,SA,P,",",G,.,R,.,S,",",R,.
Ettugada Swaram,2,103,S',,",",,R',,G',,R',,S',,R',,S',,,D,,S',,D,,P,,G,,R,,S,,R,
Ettugada Swaram,2,105,S,,",",,",",,",",,",",,",",,S,,S,,,R,,R,,G,,G,,P,,P,,D,,D,
Ettugada Swaram,2,107,S',,R',,G',,R',,G',,R',,D,,S',,,R',,S',,R',,S',,P,,D,,S',,D,
Ettugada Swaram,2,109,S',,D,,G,,P,,D,,P,,D,,P,,,R',,S',,D,,P,,G,,R,,S,,R,
Charanam 4,3,111,G,SA,",",.,G,NNU,",",.,G,TH,P,AAN,G,.,R,.,,R,GA,G,.,P,.,G,.,P,SRI,",",.,P,.,",",.
Charanam 4,3,113,G,NI,G,.,D,.,D,.,P,.,G,.,D,VA,D,.,,P,.,",",.,G,SA,P,",",G,.,R,.,S,",",R,.
Ettugada Swaram,3,115,S',,",",,R',,G',,R',,S',,R',,S',,,D,,S',,D,,P,,G,,R,,S,,R,
Ettugada Swaram,3,117,S,,",",,",",,",",,",",,",",,S,,S,,,R,,R,,G,,G,,P,,P,,D,,D,
Ettugada Swaram,3,119,S',,R',,G',,R',,G',,R',,D,,S',,,R',,S',,R',,S',,P,,D,,S',,D,
Ettugada Swaram,3,121,S',,D,,G,,P,,D,,P,,D,,P,,,R',,S',,D,,P,,G,,R,,S,,R,
