Section,Speed,Bar,Av1_N1,Av1_L1,Av1_N2,Av1_L2,Av1_N3,Av1_L3,Av1_N4,Av1_L4,Av1_N5,Av1_L5,Av1_N6,Av1_L6,Av1_N7,Av1_L7,Av1_N8,Av1_L8,,Av2_N1,Av2_L1,Av2_N2,Av2_L2,Av2_N3,Av2_L3,Av2_N4,Av2_L4,Av2_N5,Av2_L5,Av2_N6,Av2_L6,Av2_N7,Av2_L7,Av2_N8,Av2_L8
Charanam 4,2,101,G3,NI,G3,.,D2,.,D2,.,P,.,G3,.,D2,.,D2,.,,P,.,",",.,G3,VA,P,A,G3,.,R2,.,S,SA,R2,.
Ettugada Swaram,2,103,S',,",",,R2',,G3',,R2',,S',,R2',,S',,,D2,,S',,D2,,P,,G3,,R2,,S,,R2,
Ettugada Swaram,2,105,S,,",",,",",,",",,",",,",",,S,,S,,,R2,,R2,,G3,,G3,,P,,P,,D2,,D2,
Ettugada Swaram,2,107,S',,R2',,G3',,R2',,G3',,R2',,D2,,S',,,R2',,S',,R2',,S',,P,,D2,,S',,D2,
Ettugada Swaram,2,109,S',,D2,,G3,,P,,D2,,P,,D2,,P,,,R2',,S',,D2,,P,,G3,,R2,,S,,R2,
Charanam 4,3,111,G3,SA,",",.,G3,NNU,",",.,G3,TH,P,AAN,G3,.,R2,.,,R2,GA,G3,.,P,.,G3,.,P,SRI,",",.,P,.,",",.
Charanam 4,3,113,G3,NI,G3,.,D2,.,D2,.,P,.,G3,.,D2,.,D2,.,,P,.,",",.,G3,VA,P,A,G3,.,R2,.,S,SA,R2,.
Ettugada Swaram,3,115,S',,",",,R2',,G3',,R2',,S',,R2',,S',,,D2,,S',,D2,,P,,G3,,R2,,S,,R2,
Ettugada Swaram,3,117,S,,",",,",",,",",,",",,",",,S,,S,,,R2,,R2,,G3,,G3,,P,,P,,D2,,D2,
Ettugada Swaram,3,119,S',,R2',,G3',,R2',,G3',,R2',,D2,,S',,,R2',,S',,R2',,S',,P,,D2,,S',,D2,
Ettugada Swaram,3,121,S',,D2,,G3,,P,,D2,,P,,D2,,P,,,R2',,S',,D2,,P,,G3,,R2,,S,,R2,
